latency_ms,retrieval_time_ms,generation_time_ms,generation_input_tokens,generation_output_tokens,answer_correct,wiki_chunks,pdf_chunks,conf_chunks
3450,0,0,0,0,False,1,2,1
2100,0,0,0,0,True,3,0,1
3100,0,0,0,0,False,1,1,2
4850,0,0,0,0,True,1,2,1
3200,0,0,0,0,False,3,0,1
2900,0,0,0,0,False,1,1,2
2350,0,0,0,0,True,3,1,0
5100,0,0,0,0,True,0,3,1
2400,0,0,0,0,True,1,0,3
3300,0,0,0,0,False,1,1,2
2600,0,0,0,0,True,3,1,0
4150,0,0,0,0,False,1,2,1
2250,0,0,0,0,True,3,0,1
2800,0,0,0,0,True,1,1,2
3900,0,0,0,0,False,1,2,1
2150,0,0,0,0,True,3,0,1
2700,0,0,0,0,True,2,1,1
2550,0,0,0,0,True,1,0,3
3800,0,0,0,0,True,2,1,1
2950,0,0,0,0,True,1,1,2
3650,0,0,0,0,False,2,1,1
2450,0,0,0,0,True,2,1,1
3150,0,0,0,0,True,0,1,3
4200,0,0,0,0,False,1,2,1
1950,0,0,0,0,True,3,0,1
2850,0,0,0,0,True,1,1,2
2650,0,0,0,0,True,2,1,1
2750,0,0,0,0,True,1,0,3
4500,0,0,0,0,True,1,2,1
2050,0,0,0,0,True,3,0,1
3350,0,0,0,0,False,1,1,2
2200,0,0,0,0,True,3,0,1
3050,0,0,0,0,True,1,1,2
4350,0,0,0,0,False,1,2,1
2300,0,0,0,0,True,3,0,1
2900,0,0,0,0,True,1,1,2
4950,0,0,0,0,False,1,2,1
2000,0,0,0,0,True,3,0,1
3400,0,0,0,0,True,1,1,2
2500,0,0,0,0,True,2,1,1
2600,0,0,0,0,True,2,1,1
4700,0,0,0,0,False,1,2,1
2100,0,0,0,0,True,2,1,1
3250,0,0,0,0,True,1,1,2
4400,0,0,0,0,False,1,2,1
2000,0,0,0,0,True,2,1,1
2700,0,0,0,0,True,2,1,1
3300,0,0,0,0,True,1,1,2
3950,0,0,0,0,True,2,1,1
1900,0,0,0,0,True,2,1,1
4600,0,0,0,0,True,1,2,1
1850,0,0,0,0,True,2,1,1
3000,0,0,0,0,True,1,1,2
2800,0,0,0,0,True,2,1,1
5200,0,0,0,0,True,1,2,1
2950,0,0,0,0,True,2,1,1
2850,0,0,0,0,True,1,1,2
2750,0,0,0,0,True,2,1,1
4050,0,0,0,0,True,2,1,1
3100,0,0,0,0,True,1,1,2
3700,0,0,0,0,True,1,2,1
2800,0,0,0,0,True,2,1,1
3150,0,0,0,0,True,1,1,2
3850,0,0,0,0,True,1,2,1
2250,0,0,0,0,True,3,0,1
3050,0,0,0,0,True,1,1,2
4750,0,0,0,0,True,1,2,1
2400,0,0,0,0,True,2,1,1
4900,0,0,0,0,False,1,2,1
1950,0,0,0,0,True,2,1,1
2900,0,0,0,0,True,1,1,2
2550,0,0,0,0,True,2,1,1
4100,0,0,0,0,True,1,2,1
2450,0,0,0,0,True,2,1,1
3200,0,0,0,0,True,1,1,2
3900,0,0,0,0,True,1,2,1
2650,0,0,0,0,True,2,1,1
3350,0,0,0,0,True,1,1,2
4250,0,0,0,0,False,1,2,1
2500,0,0,0,0,True,2,1,1
3100,0,0,0,0,True,1,1,2
